Detector,Failure Mode,Precision,Recall,F1,FPR,AUC-ROC,Det. Latency (steps),Early Warning (steps)
Rule-Based,combined_degradation,0.0,0.0,0.0,0.0,0.9981,-1,
Statistical,combined_degradation,1.0,0.96,0.9796,0.0,1.0,10,-10.0
ML (IsoForest),combined_degradation,0.9766,1.0,0.9881,0.024,0.998,0,6.0
